I_tier,II_tier,III_tier,Styczeń,Luty,Marzec,Kwiecień,Maj,Czerwiec,Lipiec,Sierpień,Wrzesień,Październik,Listopad,Grudzień,SUMA
Inbound,Email na biuro,Email na biuro,0,1,0,0,0,0,0,0,0,0,0,0,1
Inbound,Facebook,EBook Trudny Pacjent,0,0,0,32,128,66,117,8,0,0,0,0,351
Inbound,Facebook,EBook Zmiany w prawie marketingu medycznego,0,0,0,0,41,85,124,10,11,27,68,61,427
Inbound,Facebook,EBook Zyskowna przychodnia - redukcja kosztów,0,0,0,0,0,0,0,0,4,4,9,0,17
Inbound,Facebook,Kurs MBM Black Friday,0,0,0,0,0,0,0,0,0,0,9,0,9
Inbound,Facebook,Umów spotkanie FB,0,0,0,0,0,0,6,1,2,3,2,6,20
Inbound,Polecenie,Partner polecający,0,0,0,0,0,0,0,0,124,269,0,0,393
Inbound,Strona internetowa medidesk,Audyt Marketingowy 202503,0,0,2,12,6,2,1,0,0,0,0,0,23
Inbound,Strona internetowa medidesk,Audyt Tajemniczego Pacjenta 202503,0,0,0,3,2,1,2,0,0,0,2,4,14
Inbound,Strona internetowa medidesk,EBook Trudny Pacjent,0,0,0,2,0,0,0,0,0,0,0,0,2
Inbound,Strona internetowa medidesk,Integracja z Medfile,0,0,0,0,0,0,0,0,0,6,0,0,6
Inbound,Strona internetowa medidesk,Meddiesk 3.0,0,0,0,0,0,5,6,1,1,0,0,0,13
Inbound,Strona internetowa medidesk,Medidesk 3.0 Sales 20251203,0,0,0,0,0,0,0,0,0,0,0,1,1
Inbound,Strona internetowa medidesk,Medidesk EDU szkolenia,0,0,1,0,0,0,0,0,0,0,0,0,1
Inbound,Strona internetowa medidesk,Medidesk Kontakt EN,0,0,1,0,0,1,0,0,1,2,0,0,5
Inbound,Strona internetowa medidesk,Medidesk Kontakt PL,0,1,3,3,2,4,9,8,7,6,1,2,46
Inbound,Strona internetowa medidesk,SMS Campaign,0,0,0,0,0,0,0,0,0,0,1,0,1
Inbound,Strona internetowa medidesk,Umów spotkanie,0,5,5,2,1,1,4,3,2,2,2,2,29
Inbound,Strona internetowa medidesk,Webinar Marafiki 20250409,0,0,1,0,0,0,0,0,0,0,0,0,1
Inbound,brak danych,brak danych,0,0,0,0,0,0,0,0,0,0,4,0,4
Outbound,brak danych,brak danych,1,0,0,0,0,6,0,0,0,1,0,0,8
